title,field
The difference of industrial NOx emission and the effect of income division reduction in China,"Economics, Econometrics and Finance"
Centralized Duplicate Removal Video Storage System with Privacy Preservation in IoT,Computer Science
A Novel Moment for #WriteWithAphra,
Popular or Parliamentary Sovereignty? National Opinion and the Declaration of Arbroath on the Eve of Union,Arts and Humanities
A Scope Sensitive and Result Attentive Model for Multi-Intent Spoken Language Understanding,Computer Science
The Learner’ Levels of Collocation Knowledge and Idiomatic Expressions: Exploring the Relationship of Acquisition of Two Items of Phraseology,Psychology
TRADE ROUTES OF EARLY TAMILAKAM - A STUDY OF THE ARCHAEOLOGICAL SOURCES,Social Sciences
In memory of Associate Professor Teresa Kozanecka (1946–2020),
Punjabi Journalism and Web TV Industry (A Study Based on the Content and Viewership of Web Channel TV Punjab),Arts and Humanities
Premalignant and Malignant Perianal Lesions,Medicine
Resolving the Evolution of Atomic Layer-Deposited Thin-Film Growth by Continuous <i>In Situ</i> X-Ray Absorption Spectroscopy,Materials Science
Factors predicting the occurrence of net adverse clinical and cerebral events in patients with acute coronary syndrome treated with clopidogrel or ticagrelor in combination with aspirin: a real-world study,Medicine
The Transformation of the Teaching Mode of German Course Based on Corpus — Taking the Sino-German Joint Education Cooperation in Qilu University of Technology (SDAS) as an Example,Arts and Humanities
"Description of Nurse's Knowledge, Attitude and Competence in Social Media",Social Sciences
Exploring Two Types of Aggressive Behavioural Risk Factors among Illegal Motorcycle Street Racers in Malaysia,Medicine
Table of Contents,
"EVALUATION OF THE RELATIONSHIP BETWEEN ORAL HEALTH, CHEWING ABILITY, AND DEGREE OF DISEASE IN ALZHEIMER-TYPE DEMENTIA PATIENTS",Psychology
Featured Sessions and Invited Speakers at TMS2023,
Minkowski Centers via Robust Optimization: Computation and Applications,Mathematics
Vocal information and the navigation of social decisions in bats: Is social complexity linked to vocal complexity?,"Biochemistry, Genetics and Molecular Biology"
An infant monitoring system with the support of accurate real-time indoor positioning,Engineering
Proteolysis Targeting Chimera (PROTAC) for Macrophage Migration Inhibitory Factor (MIF) Has Anti‐Proliferative Activity in Lung Cancer Cells,Immunology and Microbiology
Brain structural and functional changes that accompany placebo and duloxetine analgesia,Neuroscience
Effect of Acid Production by <i>Penicillium oxalicum</i> on Physicochemical Properties of Bauxite Residue,Engineering
"Guaiazulene derivative 1,2,3,4‐tetrahydroazuleno[1,2‐<i>b</i>] tropone reduces the production of ATP by inhibiting electron transfer complex II","Biochemistry, Genetics and Molecular Biology"
MP15-03 RISK OF PROLONGED OPIOID USE AMONG OPIOID-NAïVE PATIENTS FOLLOWING UROLOGIC-MINIMALLY INVASIVE SURGERY,Medicine
Application of health belief model to predict COVID-19-preventive behaviors among a sample of Iranian adult population,Psychology
On a L ∞ functional derivative estimate relating to the Cauchy problem for scalar semi-linear parabolic partial differential equations with general continuous nonlinearity,Mathematics
Intrinsic random functions on the sphere,Environmental Science
From Planned Economy to the Internet Era: Economic Behavior Transformations of Russian Customers,Social Sciences
AB0503 DISEASE CONTROL IN ANKYLOSING SPONDYLITIS PATIENTS WITH PERIPHERAL ARTHRITIS IN REAL CLINICAL PRACTICE IN SPAIN: MiDAS STUDY RESULTS,Medicine
"Active phloem sap collection by Trigona spinipes (Fabricius) (Hymenoptera, Apidae) in Artemisia annua Linn (Asteraceae)",Agricultural and Biological Sciences
Construction of a vector-field cryogenic magnetic force microscope,Physics and Astronomy
QOS AND DEFENSE ENHANCEMENT USING BLOCK CHAIN FOR FLY WIRELESS NETWORKS,Computer Science
DOES BANK RISK DRIVE COMPETITION IN ASIAN EMERGING MARKETS?,"Economics, Econometrics and Finance"
"Interview with IABSE Task Group 6.1: André Orcesi, Chair; Alan O’Connor, Vice Chair: Effects of Climate Change on Infrastructures",Environmental Science
Flavorings-Related Lung Disease: A Brief Review and New Mechanistic Data,Medicine
Review On An Android Application for Restaurant Chain using Voiceprint and Image Detection,Agricultural and Biological Sciences
Abdominoperineal Resection with Absorbable Mesh Repair of Perineal Defect for Fournier’s Gangrene: A Case Report,Medicine
Angiomyolipoma in the Transplanted Kidney Presenting with Hematuria- Rare Case Report,Medicine
Distributed projection‐free algorithm for constrained aggregative optimization,Computer Science
Comparative Analysis of the Metabolome and Transcriptome between the Green and Yellow-Green Regions of Variegated Leaves in a Mutant Variety of the Tree Species Pteroceltis tatarinowii,"Biochemistry, Genetics and Molecular Biology"
SFBC working group “Biochemical markers of COVID-19”,"Biochemistry, Genetics and Molecular Biology"
To Study the Effectiveness of Pre-Operative Care Bundle on Post-Operative Outcome among Adult Patient Undergoing Cardiac Surgeries in Selected Hospital,Medicine
Variation of Temperature Due to Converging Shock Wave in Self – Gravitating Gas having Intense Dust Particles,Mathematics
The Participation of the Organism Adaptation Mechanisms to the Lack of Oxygen According to the Assessment of the Fethemoglobin Content in the Peripheral Blood of Patients with Community-acquired Pneumonia,Medicine
Identification of Novel Genes Mediating Survival of Salmonella on Low-Moisture Foods via Transposon Sequencing Analysis,Agricultural and Biological Sciences
235.4: Analyzing the Impact of T-Cell Receptor Diversity in Acute Kidney Transplant Rejection,Medicine
Green Building Practices on Waste Minimization in China Construction Industry,Engineering
"Chitosan/PVA Hetero-Composite Hydrogel Containing Antimicrobials, Perfluorocarbon Nanoemulsions, and Growth Factor-Loaded Nanoparticles as a Multifunctional Dressing for Diabetic Wound Healing: Synthesis, Characterization, and In Vitro/In Vivo Evaluation",Medicine
IDF21-0181 Leveraging Community Health Workers (CHWs) in scaling up Diabetic Retinopathy screening in Fiji: a qualitative study,"Business, Management and Accounting"
A supramolecular host–guest complex for heparin binding and sensing,"Biochemistry, Genetics and Molecular Biology"
In‐Plane Photonic Crystal Devices using Fano Resonances,Engineering
,Medicine
Sustained Delivery of Analgesic and Antimicrobial Agents to Knee Joint by Direct Injections of Electrosprayed Multipharmaceutical-Loaded Nano/Microparticles,Engineering
A feasible and practical 1 H NMR analytical method for the quality control and quantification of bioactive principles in Lycii Fructus,"Biochemistry, Genetics and Molecular Biology"
Stark and Kerr Effects on the Dynamics of Moving N-Level Atomic System,Computer Science
Distance education in a medical university during a pandemic COVID-19: the first experience through the eyes of students,Computer Science
Monocyte distribution width compared with C-reactive protein and procalcitonin for early sepsis detection in the emergency department,Medicine
"Polygonatone H, a new homoisoflavanone with cytotoxicity from <i>Polygonatum Cyrtonema</i> Hua.","Biochemistry, Genetics and Molecular Biology"
Matrix-producing carcinoma of the breast showing retained rim enhancement to the late phase on magnetic resonance imaging,Medicine
Major innovations and clinical applications of disodium-levofolinate: a review of available preclinical and clinical data,Medicine
Climate-informed hydrologic modeling and policy typology to guide managed aquifer recharge,Environmental Science
KESESUAIAN DAN DAYA DUKUNG EKOWISATA MANGROVE DI DESA KURAU DAN DESA KURAU BARAT KABUPATEN BANGKA TENGAH,Environmental Science
A primer on Variational Laplace (VL),Computer Science
Adjacent Cell Marker Lateral Spillover Compensation and Reinforcement for Multiplexed Images,"Biochemistry, Genetics and Molecular Biology"
"Back Cover: Low‐Cost, High‐Strength Cellulose‐based Quasi‐Solid Polymer Electrolyte for Solid‐State Lithium‐Metal Batteries (Angew. Chem. Int. Ed. 25/2023)",Engineering
A Rediscovered Syriac Amulet from Turfan in the Collection of the Hermitage Museum,Arts and Humanities
Unaffected asthma control in children with mild asthma after COVID‐19,Medicine
Investigation on returning to work in liver cancer survivors in Taiwan: a 5-year follow-up study,"Economics, Econometrics and Finance"
Effect of cardiometabolic risk factors on the relationship between adiposity and bone mass in girls,Medicine
Special optimization problem of control mode of spacecraft motion,Engineering
Printed Electronics Technologies for Additive Manufacturing of Hybrid Electronic Sensor Systems,Computer Science
MicroRNA‑143 increases cell apoptosis in myelodysplastic syndrome through the Fas/FasL pathway both in�vitro and in�vivo,"Biochemistry, Genetics and Molecular Biology"
Attempting to Estimate the Unseen—Correction for Occluded Fruit in Tree Fruit Load Estimation by Machine Vision with Deep Learning,Environmental Science
Surgical outcomes after uterine artery occlusion at the time of myomectomy: systematic review and meta-analysis,Medicine
Effects of the injection of chicken gonadotropin-releasing hormone-ı on egg fertility and hatching traits,Agricultural and Biological Sciences
"Impact of molasses and microbial inoculants on fermentation quality, aerobic stability, and bacterial and fungal microbiomes of barley silage",Agricultural and Biological Sciences
Beneficial influence of Hf and Zr additions to Nb4at%Ta on the vortex pinning of Nb<sub>3</sub>Sn with and without an O source,Engineering
Online UI/UX Platform (Crafter),Social Sciences
Characterization of the MicroRNA Cargo of Extracellular Vesicles Isolated from a Pulmonary Tumor-Draining Vein Identifies miR-203a-3p as a Relapse Biomarker for Resected Non-Small Cell Lung Cancer,"Biochemistry, Genetics and Molecular Biology"
Online prenatal trial in mindfulness sleep management (OPTIMISM): protocol for a pilot randomized controlled trial,Psychology
Regional Satellite Algorithms to Estimate Chlorophyll-a and Total Suspended Matter Concentrations in Vembanad Lake,Earth and Planetary Sciences
Preface,Environmental Science
On scaling robust feedback control and state estimation problems in power networks,Engineering
An Adaptive Multiscale Fusion Network Based on Regional Attention for Remote Sensing Images,Engineering
Effect of COVID-19 Pandemic on PCI Outcomes: A Single-center Retrospective Race and Gender-based Study,Medicine
Sexually dimorphic prelimbic cortex mechanisms play a role in alcohol dependence: protection by endostatin,Neuroscience
Fracture Properties of Nash Point Limestone and Implications for Fracturing of Layered Carbonate Sequences,Engineering
The experience of shared decision‐making for patients with end‐stage kidney disease undergoing haemodialysis and their families—A scoping review,Health Professions
Exploring experience of Iranian medical sciences educators about Best Evidence Medical Education: A content analysis,Medicine
Hierarchical change-point regression models including random effects to estimate empirical critical loads for nitrogen using Bayesian Regression Models (brms) and JAGS,Environmental Science
In danger of co-option: Examining how austerity and central control shape community woodlands in Scotland,Environmental Science
"Preventing HIV outbreaks among people who inject drugs in the United States: plus ça change, plus ça même chose",Medicine
Molecular detection of E.coli O157,Immunology and Microbiology
Plugging the hole and saving a life - VSR Closure done in dire straits!,"Economics, Econometrics and Finance"
Sensitivity Increase in Headspace Analysis of Hydrocarbons in Water by Using Online Selective Elimination of Gas Extractant,Chemistry
Project characteristics indicating safety performance,Health Professions
RESEARCH ON THE DEVELOPMENT OF BODYBUILDING OF UNIVERSITY STUDENTS IN NINGBO FROM THE PERSPECTIVE OF SPORTS EMOTION REGULATION PSYCHOLOGY,Psychology
The effect of otus social educational network on english achievement and attitudes of Iranian high school EFL learners,Social Sciences
Cadmium and lead distribution in pyrite ores,Environmental Science
Profile of Tissue Immunoglobulin E in Eosinophilic Chronic Rhinosinusitis with Nasal Polyps,Medicine
Length of Hospital Stay for Hip Fracture and 30-Day Mortality in People With Alzheimer’s Disease: A Cohort Study in Finland,Medicine
Issue Information,Agricultural and Biological Sciences
From Digitization to Artificial Intelligence in External Public Audit,"Business, Management and Accounting"
Analisa Yuridis Terhadap Pemberian Keterangan Palsu Dalam Persidangan Oleh Pihak Kepolisian,Social Sciences
"High V‐PPase activity is beneficial under high salt loads, but detrimental without salinity","Biochemistry, Genetics and Molecular Biology"
Chance Constrained Programming for Capacitated Open Vehicle Routing Problems,Engineering
The Disclosure of Social Responsibilities in Higher Learning Institutions: An International Perspective,"Business, Management and Accounting"
Tests and Proofs,
516 Cystic fibrosis sputum attenuates killing of Staphylococcus aureus by neutrophils by impairing phagolysosome fusion,Immunology and Microbiology
Synthesis of impregnated Ni(0) zeolite ZSM-5 as catalyst for carboxylation reaction of acetylene with CO<sub>2</sub>,Chemical Engineering
A proton imaging system using a volumetric liquid scintillator: a preliminary study,Medicine
ANALYSIS OF HOTS IN ENGLISH TEACHER-MADE TEST,Social Sciences
Turning AML targets inside out,Medicine
Erratum to “BX795 demonstrates potent antiviral benefits against herpes simplex Virus-1 infection of human cell lines” [Antivir. Res. 80 (2020) 104814],Medicine
Formation Mechanism and Control of Large-size CaO–MgO–Al&lt;sub&gt;2&lt;/sub&gt;O&lt;sub&gt;3&lt;/sub&gt; Inclusions in Steel Used for Wind Power,Engineering
DEMOGRAPHIC PROFILE OF CATARACT PATIENTS ATTENDING TERTIARY CARE EYE HOSPITAL – A CLINICAL STUDY,Medicine
Using Experience Sampling Methods to support clinical management of psychosis: The perspective of people with lived experience,Psychology
Visualizing veins from color images under varying illuminations for medical applications,Medicine
In response to a comment on lung isolation for lobectomy in elderly post radiation fibrosis of a difficult airway-pediatric double-lumen tube and pediatric ureteroscope as rescue devices,Medicine
Reprogramming allosteric control in proteins,"Biochemistry, Genetics and Molecular Biology"
THE EFFECT OF ELEVENIA TELEVISION ADVERTISEMENTS ON STUDENTS' BUYING INTEREST,"Business, Management and Accounting"
The Meaning of Political Rights of Former Prisoners in the Perspective of Pancasila Democracy,Social Sciences
In situ metagenomics: A platform for rapid sequencing and analysis of metagenomes in less than one day,"Biochemistry, Genetics and Molecular Biology"
Mucosal Influenza Vector Vaccine Carrying TB10.4 and HspX Antigens Provides Protection against Mycobacterium tuberculosis in Mice and Guinea Pigs,Medicine
Clinical Efficacy and Openness to New Challenges of Low Dose Rate Brachytherapy for Prostate Cancer,Medicine
Assessment of Haloferax mediterranei Genome in Search of Copper-Molecular Machinery With Potential Applications for Bioremediation,Environmental Science
Tear Neuromediator and Corneal Denervation Following SMILE,Medicine
Impact of artificial illumination on the development of a leafmining moth in urban trees,Agricultural and Biological Sciences
Brothers Building Brothers by Breaking Barriers: development of a resilience-building social capital intervention for young black gay and bisexual men living with HIV,Medicine
Pengetahuan Dengan Sikap Tentang Kesehatan Reproduksi (Studi Cross Sectional pada Mahasiswa Non Kesehatan Unissula Semarang),Health Professions
Strategies for Improving Inhalation Technique in Children: A Narrative Review,Medicine
Stress-Induced Changes in Trophic Factor Expression in the Rodent Urinary Bladder: Possible Links With Angiogenesis,Medicine
Eye Tracking and ROI Detection within a Computer Screen Using a Monocular Camera,Computer Science
Investigating the Factors Affecting the Sleep of Babies Between 0-2 Years of Age,Psychology
Exploring association between food insecurity and depression among older adults in India,Health Professions
The Impact of TikTok Influencers on TikTok Users' Online Buying Decisions in Egypt,"Business, Management and Accounting"
Творчість Євгена Лисика та балетний театр,Environmental Science
Targeted Depletion of Bacteria from Mixed Populations by Programmable Adhesion with Antagonistic Competitor Cells,Environmental Science
Gender and Pharmacists’ Career Satisfaction in the United States,Health Professions
OTS Scheme Based Secure Architecture for Energy-Efficient IoT in Edge Infrastructure,Computer Science
"Structuralism Aspects of War, Famine and Epidemic: Investigation for (Safar",Social Sciences
Bilateral XEN Gel Stent Implantation in Juvenile-Onset Open-Angle Glaucoma,Medicine
Anak Muda Kristen Peduli Lingkungan Hidup,Arts and Humanities
"Electrical properties of Mg-doped and Mg, Si co-doped alumina",Materials Science
Modified Citrus Pectin as a Potential Sensitizer for Radiotherapy in Prostate Cancer,Immunology and Microbiology
Cisplatin-Loaded Thermosensitive Liposomes Functionalized with Hyaluronic Acid: Cytotoxicity and In Vivo Acute Toxicity Evaluation,Materials Science
Structural Allograft Versus PEEK Implants in Anterior Cervical Discectomy and Fusion: A Systematic Review,Medicine
Novel <i><scp>FOXL</scp>2</i> mutations cause blepharophimosis‐ptosis‐epicanthus inversus syndrome with premature ovarian insufficiency,"Biochemistry, Genetics and Molecular Biology"
Review of HOOD Feminism: Notes from The Women That a Movement Forgot by Mikki Kendall,Social Sciences
GOODS ACCORDING TO THE NOMENCLATURE OF GOODS EFFECT OF CLASSIFICATION ON CUSTOMS DUTIES,Decision Sciences
Probing the Structure-Activity Relationship of an Antioxidant Tuna-Backbone Derived Peptide,"Biochemistry, Genetics and Molecular Biology"
The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging,Neuroscience
Awareness of sick day rules and use of steroid cards among patients taking long term synthetic oral glucocorticoids for immunosuppression and adrenal hormone replacement at a tertiary hospital in Ethiopia: A cross-sectional study,Medicine
Conscious intention: New data on where and how in the brain,Neuroscience
Sustainability and life cycle assessment (LCA) of macroalgae-derived single cell oils,Energy
Effects of Intense Physical Exercise In Rehabilitation of Patients Submitted to Heart Transplant,Medicine
Recent Progress of Lung Cancer Diagnosis Using Nanomaterials,"Biochemistry, Genetics and Molecular Biology"
"Prevalence, identification and harms of alcohol use disorders",Medicine
Lateral Torsional Buckling of Welded Stainless Steel I-Profile Beams: Experimental Study,Engineering
Sports officials and parents as spectators: Diffusing tensions on the sidelines,Psychology
Migration Background Should Be Considered,Social Sciences
'Bread Crumbs' of granular corneal dystrophy: Through the looking glass (Scheimpflug Imaging),Medicine
First results on the diet of the invasive Pterois miles (Actinopterygii: Scorpaeniformes: Scorpaenidae) in the Hellenic waters,Environmental Science
Dose-Dependent Effect of Enzyme Replacement Therapy on Neutralizing Antidrug Antibody Titers and Clinical Outcome in Patients with Fabry Disease,Medicine
Comparative experimental study of 5-ALA and 5-ALA hexyl ester specific activity,Medicine
Haier: A Hammer Turned a Company into Billion Dollar,Social Sciences
Erratum regarding previously published articles,
Business Relationship and Allocation of Initial Public Offering in Korea: Abnormal Return in IPO Holding Period,"Business, Management and Accounting"
“Is there any Causality between the Islamic Banks’ Deposit Returns and the Conventional Banks’ Interest Rates? Evidence from Malaysian Commercial Banking”,"Business, Management and Accounting"
"Transfer, Entanglement and Regnal Traditions. The Mobility of Ideas, or How to Define Princely Rank in England and the Empire in the Fourteenth Century",Arts and Humanities
Antithrombotic effects and related mechanisms of Salvia deserta Schang root EtOAc extracts,Medicine
Ion correlations drive charge overscreening and heterogeneous nucleation at solid–aqueous electrolyte interfaces,Chemistry
KEYLINK: towards a more integrative soil representation for inclusion in ecosystem scale models. I. review and model concept,Agricultural and Biological Sciences
The power of metabolism — Linking energy supply and demand with cardiac contractile function,Medicine
Applications of Nanotechnology in Textile: A Review,Materials Science
"Remains of a subtropical humid forest in a Messinian evaporite-bearing succession at Govone, northwestern Italy – Preliminary results",Earth and Planetary Sciences
DOP60 The interleukin 22 transcriptional programme is activated in human colonic inflammation and associated to anti-TNFα primary non-response in Crohn’s,"Biochemistry, Genetics and Molecular Biology"
Hormone receptor expression of colorectal cancer diagnosed during the peri-partum period,Medicine
Thermally activated flow in models of amorphous solids,Materials Science
Altered Development of Mesencephalic Dopaminergic Neurons in SIDS: New Insights into Understanding Sudden Infant Death Pathogenesis,Neuroscience
A comprehensive proteomics profiling identifies NRP1 as a novel identity marker of human bone marrow mesenchymal stromal cell-derived small extracellular vesicles,"Biochemistry, Genetics and Molecular Biology"
"""Campaign 2020"": A Gravesian Levels of Existence (GLOE) Analysis",Social Sciences
Asymptotic shear and the intrinsic conformal geometry of null-infinity,Physics and Astronomy
"Fabrication, Morphology Analysis, and Mechanical Properties of Ti Foams Manufactured Using the Space Holder Method for Bone Substitute Materials",Engineering
Testing strategy for COVID-19 in India – A need to move further ahead from purposive testing to a clinical testing strategy,Medicine
The future of the ageing workforce in engineering: relics or resources?,Social Sciences
Pendampingan Pengolahan Sistem Informasi Pendataan dokumen Sekolah Berbasis Komputerisasi di SMK Negeri 3 Lhokseumawe,Computer Science
"On Failing to Perform: <i>Kunst und Revolution</i>, Vienna 1968",Social Sciences
An Improved Recommender System Solution to Mitigate the Over-Specialization Problem Using Genetic Algorithms,Computer Science
The Prevalence of High Grade Cervical Intraepithelial Neoplasia (CIN) in a Primary Human Papillomavirus (HPV) Cervical Screening Programme Population with HPV Positive and Cytology Negative Smear Results,Medicine
The health benefits and practical considerations for the adoption of a Mediterranean-style dietary pattern,Medicine
Access to quality health resources and environmental toxins affect the relationship between brain structure and BMI in a sample of pre and early adolescents,Medicine
Issue Information,
On the representability of sequences as constant terms,Mathematics
Midnight at the oasis: does restoration change the rigs-to-reefs debate in the North Sea?,Engineering
Predictors and Outcomes of Digital Weighing and Activity Tracking Lapses Among Young Adults During Weight Gain Prevention,Health Professions
Stabilized tetraether lipids based particles guided prophyrins photodynamic therapy,Medicine
How new generation techniques are shaping the future of environmental sciences,Medicine
Endoscopic Retrograde Cholangiopancreatography during Pregnancy,Medicine
The effect of physical activity on sleep quality: a systematic review,Psychology
RFM Analysis for Customer Lifetime Value with PARETO/NBD Model in Online Retail Dataset,"Business, Management and Accounting"
Thrombectomy with mechanical rotational catheter in a case series of six patients,Medicine
3D Measurement of Human Chest and Abdomen Surface Based on 3D Fourier Transform and Time Phase Unwrapping,Computer Science
Effect of Habitat Heterogeneity on the Growth and Biochemical Components of Three Plant Species Native to the Mediterranean Coast of Egypt,Agricultural and Biological Sciences
Vehicle Insurance Model Using Telematics System with Improved Machine Learning Techniques: A Survey,Engineering
Optimized Artificial Neural Network Techniques to Improve Cybersecurity of Higher Education Institution,Computer Science
Central Nervous System Lymphoma in a Patient with Chronic Lymphocytic Leukemia: A Case Report and Literature Review,Medicine
The effect of personality on daily joking among college students,Psychology
Determining power-energy parameters of combined rolling-extrusion process for low-plastic aluminium alloys,Engineering
The brain oxytocin and corticotropin-releasing factor systems in grieving mothers: What we know and what we need to learn,Psychology
A REVIEW OF RESEARCH ON THE DEVELOPMENT AND EVOLUTION OF SCRUB DUNES,Energy
PVAmpliconFinder: a workflow for the identification of human papillomaviruses from high-throughput amplicon sequencing,Medicine
Rosette-Shaped Deposits on the Anterior Intraocular Lens Surface,Medicine
Condensed Phase Guerbet Reactions of Ethanol/Isoamyl Alcohol Mixtures,Engineering
Laboratorium Virtual dengan Aplikasi PhET untuk Memperkuat Penguasaan Konsep Listrik Dinamis Siswa pada Pembelajaran Online,Social Sciences
Analysis of a class of Kolmogorov systems,Medicine
An Invincible Rudimentary Architecture for Data Security in Cloud Environment Using Multi Cloud,Computer Science
Associations of Symptom Clusters and Health Outcomes in Adult Survivors of Childhood Cancer: A Report From the St Jude Lifetime Cohort Study,Medicine
The Curious Case of Earthworms and COVID-19,"Biochemistry, Genetics and Molecular Biology"
Effects of Empowerment and Family Function on the Depression of Firefighters,Computer Science
Characterization of a Neutral Sphingomyelinase Activity in Human Serum and Plasma,"Biochemistry, Genetics and Molecular Biology"
Re-reading The Adventures of Pinocchio from the Perspective of the History of Redemption,Environmental Science
Our anesthesia experiences in <scp>COVID</scp>‐19 positive patients delivering by cesarean section: A retrospective single‐center cohort study,Medicine
Effective Communications: A Joint Learning and Communication Framework for Multi-Agent Reinforcement Learning Over Noisy Channels,Physics and Astronomy
Implementation of Cellular-Based Drone Module using Cloud Services,Computer Science
"ANALISA KESESUAIAN KAWASAN TRANSIT BLOK M, JAKARTA TERHADAP KRITERIA KONSEP TOD (TRANSIT ORIENTED DEVELOPMENT)",Engineering
On Exact Computation of Tukey Depth Central Regions,Mathematics
High-quality genome-scale metabolic network reconstruction of probiotic bacterium Escherichia coli Nissle 1917,"Biochemistry, Genetics and Molecular Biology"
"Overview of the health profile of the elderly referring to the risks of stroke in the sub-district of Cililitan, Jakarta, Indonesia",Medicine
Problematic online gambling among adolescents: A systematic review about prevalence and related measurement issues,Psychology
Adaptive immunity: an emerging player in the progression of NAFLD,Medicine
The role of interpersonal style in aggression and its containment in a forensic mental health setting: A correlational and pseudoprospective study of patients and nursing staff,Social Sciences
"Genomic Analysis of the Yet-Uncultured Binatota Reveals Broad Methylotrophic, Alkane-Degradation, and Pigment Production Capacities",Environmental Science
Markers of ventricular repolarization and overall mortality in sleep disordered breathing,Medicine
EMBRIOLOGI DALAM AL-QUR'AN: KAJIAN PADA PROSES PENCIPTAAN MANUSIA,Social Sciences
Facilitating the Success of Women’s Early Career Grants: A Local Solution to a National Problem,Social Sciences
E-syt1 Re-arranges STIM1 Clusters to Stabilize Ring-shaped ER-PM Contact Sites and Accelerate Ca2+ Store Replenishment,Neuroscience
Apoptotic or Antiproliferative Activity of Natural Products against Keratinocytes for the Treatment of Psoriasis,Immunology and Microbiology
"Hard Ticks (Ixodidae) from Wildlife in Liguria, Northwest Italy: Tick Species Diversity and Tick-Host Associations",Immunology and Microbiology
The Phenomenon Of Migration In The Romanian Handball Since Its Beginning,Social Sciences
Topic: Utilization of fruit peel for the development of functional fruit peel bar,Agricultural and Biological Sciences
"Reduction of mortality and predictions for acute myocardial infarction, stroke, and heart failure in Brazil until 2030","Business, Management and Accounting"
Cardioprotective effects of idebenone do not involve ROS scavenging: Evidence for mitochondrial complex I bypass in ischemia/reperfusion injury,Medicine
Influence of Implant Surface Characteristics on Microbiota: A Review,Engineering
Metabolic engineering of Yarrowia lipolytica for poly(ethylene terephthalate) degradation,Environmental Science
Comparison of bromocriptine and hydroxyethyl starch in the prevention of ovarian hyperstimulation syndrome,Medicine
Preliminary RF design of an X-band linac for the EuPRAXIA@SPARC_LAB project,Engineering
"Different environment, different reproductive strategies? Unexpected field observations in the harvestmen Discocyrtus prospicuus (Laniatores: Gonyleptidae)",Agricultural and Biological Sciences
Apar Tourism Village Development Strategy as an Ecotourism Attraction in Pariaman City,Social Sciences
When the adrenals alert us to a systemic fungal disease,Medicine
Entanglement Verification of Hyperentangled Photon Pairs,Computer Science
"Problems Faced by Parents of Differently Abled Children in District Anantnag, Kashmir",Nursing
EVALUATION OF HUMAN INDUCED VIBRATIONS IN KJÆRRA BRIDGE,Engineering
Improving students’ conceptions on fluid dynamics through peer teaching model with PDEODE (PTM-PDEODE),Social Sciences
Problems of attracting domestic investments in Ukraine during war,"Economics, Econometrics and Finance"
Gegenwärtige Aufgaben einer philosophischen Theorie kriegerischer Gewalt. Exposé zum Diskussionsschwerpunkt,Arts and Humanities
Impacts of Self-Efficacy on Food and Dietary Choices during the First COVID-19 Lockdown in China,Psychology
The daily struggle,Social Sciences
Sensitivity to imidacloprid insecticide varies among some social and solitary bee species of agricultural value,Agricultural and Biological Sciences
Beyond the use of Code Mixing by Social Media Influencers in Instagram,Computer Science
<scp>PHQ</scp>‐9: global uptake of a depression scale,Psychology
"Electronic states dressed by an out-of-plane supermodulation in the quasi-two-dimensional kagome superconductor <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>CsV</mml:mi><mml:mn>3</mml:mn></mml:msub><mml:msub><mml:mi>Sb</mml:mi><mml:mn>5</mml:mn></mml:msub></mml:mrow></mml:math>",Physics and Astronomy
Persepsi Peternak tentang Ayam IPB D-1 sebagai Ayam Lokal Unggul (Kasus Sinar Harapan Farm Jampang Tengah Sukabumi),Agricultural and Biological Sciences
Source apportionment of polycyclic aromatic hydrocarbons in New York/New Jersey Harbour sediment,Environmental Science
The Effect of Communication Media on Information Sharing in Supply Chains,Social Sciences
Influence of May–June frontal precipitation on coherent moisture pattern in east-central China since 1793 based on tree-ring data,Earth and Planetary Sciences
Integrated Process Planning and Resource Allocation for Collaborative Robot Workplace Design,Engineering
Annotated Checklist of Cartilaginous Fishes in Palawan Waters,Environmental Science
Tetra‐<i>tert</i>‐butyl‐<i>s‐</i>indacene is a Bond‐Localized <i>C</i><sub>2h</sub> Structure and a Challenge for Computational Chemistry,Chemistry
Disclosing bad news of cancer: patients’ preference for communication,Health Professions
Obstacles to Health Big Data Utilization Based on the Perceptions and Demands of Health Care Workers in South Korea: Web-Based Survey Study,Health Professions
Inhibition of Connexin 43 reverses ox-LDL-mediated inhibition of autophagy in VSMC by inhibiting the PI3K/Akt/mTOR signaling pathway,"Biochemistry, Genetics and Molecular Biology"
CORRIGENDUM,"Biochemistry, Genetics and Molecular Biology"
Bootstrap inversion technique for atmospheric trace gas source detection and quantification using long open-path laser measurements,Environmental Science
Penggalangan Civic Literacy Melalui Organisasi Kemahasiswaan dan Pandangan mengenai Tantangan Demokrasi di Indonesia,Social Sciences
Three-dimensional modeling of steady-state flow in lake bank filtration – Brazil,Environmental Science
Ce and Zr Modified WO3-TiO2 Catalysts for Selective Catalytic Reduction of NOx by NH3,Materials Science
Defining Fairness in Dismissals of Unauthorised Foreign Nationals,Social Sciences
Features of Psychopathological Symptoms in Combatants with Non-Psychotic Mental Disorders Who Had COVID-19,Medicine
Effect of an external electric field on the wall of a rare earth steel submerged entry nozzle,Engineering
